	Code	ROE	PM
0	001440	8.88	0.0477970276425653
0	000880	1.36	0.00996139095075594
0	383220	27.42	0.17090042156575516
0	012750	10.37	0.07201139613076221
0	007070	5.27	0.05094378184824041
0	018880	2.8	0.03515916114121449
0	039030	8.95	0.019112300320908857
0	008930	15.23	0.02177368390925332
0	000120	6.94	0.0705719285900954
0	237690	9.49	0.0168099286435595
0	030000	15.86	0.08698945724538075
0	002790	7.74	0.1182885524544613
0	028670	7.42	0.10028494524484874
0	006280	0.83	0.02004584247769722
0	282330	16.94	0.059981071593388224
0	051600	13.41	0.09460708782742681
0	009420	4.95	0.004274559377904319
0	357780	17.54	0.09545187100933472
0	008770	11.72	0.02660919968095617
0	214450	20.87	0.06403293713600017
0	012510	12.72	0.0365496871712275
0	026960	9.23	0.02340203629773374
0	035900	21.98	0.06485271697578208
0	000990	9.42	0.09619703225675895
0	139480	-0.06	0.008866335939364051
0	047040	8.25	0.06628013321863165
0	006360	5.87	0.024657669046859173
0	111770	10.53	0.12151957928855
0	023530	1.42	0.025208822596029145
0	078600	13.37	0.014299528735042727
0	089030	13.15	0.030072634948626647
0	294870	6.29	0.04191387026148255
0	020150	0.96	0.00613681974332425
0	069620	9.56	0.05838302223296734
0	240810	1.67	0.005073924491098318
0	035760	-0.48	0.02745082998178831
0	017800	26.15	0.022762679391133047
0	014680	13.96	0.07255791561973142
0	005290	16.95	0.072997409089122
0	204320	10.74	0.059674512569251444
0	007310	9.09	0.10256843629314755
0	161890	12.59	0.06525652224572288
0	018670	6.37	0.0504620516170679
0	103140	12.81	0.11251053459486654
0	000240	10.75	0.20610739004906245
0	185750	11.3	0.055240945961943275
0	005850	18.3	0.16889129693852045
0	041510	10.95	0.047702928798123365
0	000080	9.92	0.06131988122260504
0	086900	9.16	0.032017585778457425
0	225570	26.3	0.06686861722545359
0	293490	1.05	0.010949847393705798
0	039200	-2.3	-0.0018101176266151421
0	298380	-54.0	-0.022998352742984784
0	004170	6.54	0.06319774601697879
0	178320	21.43	0.0756951152981406
0	003690	9.51	0.03564821211229212
0	042670	11.79	0.088447958213327
0	004490	14.96	0.12015386172689543
0	137310	-2.81	-0.03138653766413073
0	010060	10.66	0.1013742426675946
0	280360	6.27	0.06641572149693196
0	011210	5.4	0.06325894554091407
0	139130	5.62	0.004744982230756041
0	003090	12.25	0.074119201829891
0	395400	0.38	0.00831203222453735
0	096530	3.19	-0.005646800532229773
0	192820	23.8	0.0671602067281012
0	065350	6.75	0.016272274107603277
0	073240	21.36	0.16893710878603332
0	001720	9.27	0.01771561878192437
0	082640	6.97	0.010955585420932206
0	140860	23.52	0.028886139173277283
0	328130	-10.28	-0.03428648893429944
0	036930	19.07	0.07007657883593885
0	009240	28.74	0.023070818643334212
0	009410	-685.73	-0.007675407029898151
0	298050	14.55	0.07443058270552835
0	137400	24.29	0.058657332902631594
0	005300	8.0	0.0557625018667513
0	232140	10.56	0.030369333470819306
0	298020	13.04	0.08331281293605844
0	067630	-2.57	-0.01949025582671142
0	310210	-63.75	-0.025602643697905166
0	375500	4.38	0.04930128063107256
0	064760	14.0	0.05175366960286624
0	004000	8.11	0.05909914839768802
0	001120	13.58	0.07854894261161802
0	336260	-1.64	0.0009136800957920485
0	067160	31.0	0.08422848308766692
0	950160	-16.69	-0.018460319318499042
0	082740	-0.19	0.004677453153209882
0	014820	8.66	0.049663207761461714
0	095340	11.48	0.04559996485466124
0	281740	17.89	0.022102787924840266
0	089860	8.89	0.04883270691386085
0	031980	22.34	0.05838739407179314
0	108320	12.56	0.11071363001618978
0	195940	3.99	0.03705199902281677
0	009970	16.88	0.29714024815399154
