	Unnamed: 0	Code	Name	ROE	PM	EY	ROE_Rank	PM_Rank	Total_Rank
361	0	57050	현대홈쇼핑	9.91	35.306334371754936	0.0927534638223004	624.0	69.0	693.0
1160	0	14280	금강공업	10.09	31.523341523341525	0.0897007111528948	609.0	87.0	696.0
1236	0	137950	제이씨케미칼	13.3	18.944162436548226	0.1357314517508306	397.0	301.0	698.0
348	0	5180	빙그레	14.59	16.617161716171616	0.160449946049967	327.0	374.0	701.0
1298	0	53700	삼보모터스	10.23	29.29608938547486	0.0637847773055245	599.0	107.0	706.0
1362	0	101140	인바이오젠	14.9	16.0813704496788	-0.0678255648994387	313.0	393.0	706.0
2029	0	98120	마이크로컨텍솔	14.22	16.952380952380953	0.1563052811118797	348.0	358.0	706.0
764	0	425040	티이엠씨	16.53	14.793388429752069	0.0698993189716319	255.0	453.0	708.0
1531	0	130580	나이스디앤비	13.86	17.28	0.1672131147540983	363.0	345.0	708.0
2306	0	84870	TBH글로벌	10.93	23.943661971830984	0.1220339324463093	541.0	171.0	712.0
644	0	50890	쏠리드	14.45	16.626506024096386	0.0836653649607983	340.0	373.0	713.0
1279	0	264900	크라운제과	11.81	21.25301204819277	0.1208257675414338	479.0	236.0	715.0
873	0	14940	오리엔탈정공	22.26	12.063074901445466	0.0937467986315377	119.0	599.0	718.0
2207	0	353190	휴럼	14.28	16.587677725118482	0.112438454001241	345.0	376.0	721.0
1942	0	123700	SJM	9.59	35.305164319248824	0.1393022592557513	651.0	70.0	721.0
687	0	92230	KPX홀딩스	9.54	35.88808664259928	0.0963798604407831	657.0	67.0	724.0
1209	0	445180	퓨릿	19.82	12.436849925705795	0.1063517149255575	152.0	575.0	727.0
715	0	52400	코나아이	18.18	13.010033444816054	0.0667525007427948	193.0	536.0	729.0
719	0	290550	디케이티	18.91	12.658227848101266	0.0840422838710444	171.0	561.0	732.0
1194	0	33290	코웰패션	10.62	24.20537897310513	0.0548872798760798	567.0	167.0	734.0
2560	0	245450	씨앤에스링크	15.62	14.767025089605736	0.0697341964877209	278.0	456.0	734.0
87	0	71050	한국금융지주	11.08	22.543909348441925	0.0119716550604606	529.0	206.0	735.0
638	0	83450	GST	16.97	13.91430646332607	0.1424406607289355	234.0	501.0	735.0
421	0	195870	해성디에스	13.76	16.705882352941178	0.1547756552643269	369.0	368.0	737.0
1089	0	365330	에스와이스틸텍	31.57	10.486358244365364	0.0990359931393833	42.0	697.0	739.0
2317	0	80470	성창오토텍	11.96	20.08	0.0318880031110246	471.0	269.0	740.0
512	0	114840	아이패밀리에스씨	40.64	10.215322984476716	0.117181879105288	24.0	719.0	743.0
514	0	43150	바텍	13.52	16.813852813852815	0.1247308163813393	383.0	363.0	746.0
53	0	86280	현대글로비스	15.06	15.1654478976234	0.1091604391608936	307.0	440.0	747.0
1196	0	67900	와이엔텍	10.72	23.497615262321144	0.1525577474596615	562.0	186.0	748.0
1386	0	14200	광림	11.72	20.178926441351887	0.0743647310618807	487.0	266.0	753.0
77	0	16360	삼성증권	11.86	19.622722400857448	0.0185319573835561	476.0	279.0	755.0
456	0	453340	현대그린푸드	11.82	19.552742616033758	0.1578403120913787	478.0	282.0	760.0
60	0	11070	LG이노텍	15.46	14.32656587473002	0.0913267027903047	288.0	476.0	764.0
353	0	183300	코미코	26.0	10.660176991150443	0.1496081703842778	79.0	688.0	767.0
162	0	111770	영원무역	10.68	22.627939142461965	0.1295649814485133	564.0	205.0	769.0
116	0	88350	한화생명	8.74	44.65986394557823	0.0080910869182049	735.0	35.0	770.0
69	0	21240	코웨이	19.88	11.72809667673716	0.1130919624674914	151.0	619.0	770.0
1281	0	262260	에이프로	18.88	12.05020920502092	0.0572816974185615	173.0	600.0	773.0
385	0	383800	LX홀딩스	9.32	30.115606936416185	0.326131579137856	674.0	101.0	775.0
960	0	23910	대한약품	12.01	18.43579766536965	0.1812658227848101	469.0	310.0	779.0
1018	0	73010	케이에스피	31.81	9.828571428571427	0.0838374831703357	41.0	739.0	780.0
284	0	23590	다우기술	9.35	28.948275862068968	0.0131801761302425	670.0	110.0	780.0
