	Unnamed: 0	Code	ROE	PM	ROE_Rank	PM_Rank	Total_Rank
1667	0	317830	-1.54	-0.0029657685067414	1716.0	1749.0	3465.0
956	0	206560	-2.88	-0.0	1781.0	1688.0	3469.0
1719	0	97780	6.59	-0.2987780444821375	971.0	2499.0	3470.0
474	0	900140	-10.26	0.012650360648106	1996.0	1477.0	3473.0
510	0	95610	0.52	-0.0153944646306173	1606.0	1870.0	3476.0
546	0	394280	-2.2	-0.0005618621459987	1754.0	1726.0	3480.0
1211	0	419080	0.66	-0.0176011508805855	1592.0	1889.0	3481.0
1008	0	63080	-3.17	-0.0	1795.0	1688.0	3483.0
1623	0	223310	-5.69	0.005673243847367	1880.0	1608.0	3488.0
2261	0	131180	1.18	-0.0239450540825652	1542.0	1949.0	3491.0
1576	0	17180	-5.23	0.0047716534771802	1870.0	1625.0	3495.0
183	0	39200	-2.3	-0.0018101176266151	1758.0	1738.0	3496.0
1294	0	5960	-2.52	-0.001364858777139	1762.0	1735.0	3497.0
514	0	252990	-1.22	-0.0076503912594754	1700.0	1798.0	3498.0
1765	0	4870	2.75	-0.0539429296750341	1376.0	2123.0	3499.0
771	0	61970	-5.82	0.0055267636118574	1885.0	1614.0	3499.0
1214	0	2210	-5.02	0.0035523223633079	1865.0	1647.0	3512.0
448	0	314930	-2.27	-0.0047206613817438	1755.0	1759.0	3514.0
1635	0	52710	-0.6	-0.0117186618811557	1679.0	1836.0	3515.0
1663	0	54920	0.64	-0.019859618710414	1596.0	1920.0	3516.0
852	0	30210	-1.66	-0.0075870115130476	1722.0	1797.0	3519.0
1055	0	164060	-8.69	0.0082823377963302	1959.0	1562.0	3521.0
540	0	60280	-5.33	0.0033044170803997	1872.0	1651.0	3523.0
1909	0	39010	-1.41	-0.0091885372997186	1709.0	1815.0	3524.0
1497	0	306620	-11.92	0.0116631677163517	2025.0	1500.0	3525.0
102	0	250	-5.27	0.0027000711975023	1871.0	1656.0	3527.0
2540	0	217910	-6.89	0.0056433510489409	1918.0	1609.0	3527.0
266	0	336370	-0.12	-0.0163855133155928	1649.0	1879.0	3528.0
1093	0	277880	-6.86	0.0053972476843378	1917.0	1616.0	3533.0
1659	0	81150	-1.41	-0.0109949248892701	1709.0	1831.0	3540.0
264	0	85660	-2.94	-0.0048796225083364	1787.0	1760.0	3547.0
968	0	131400	1.63	-0.0395657157888216	1501.0	2046.0	3547.0
2187	0	210120	-1.4	-0.0124950332242933	1708.0	1844.0	3552.0
1494	0	220	-6.27	0.0027899652760921	1898.0	1654.0	3552.0
1026	0	109740	2.47	-0.0587574317550602	1407.0	2148.0	3555.0
1888	0	42040	4.87	-0.1666587417561535	1153.0	2409.0	3562.0
2061	0	434480	-5.57	0.0	1875.0	1688.0	3563.0
1552	0	103840	-9.56	0.0069027818051379	1978.0	1587.0	3565.0
311	0	115450	-1.66	-0.012438722136619	1722.0	1843.0	3565.0
2151	0	36480	-1.78	-0.0111111111111111	1732.0	1833.0	3565.0
2381	0	79650	2.24	-0.0559832050384884	1430.0	2135.0	3565.0
326	0	93370	-3.21	-0.0057776367996072	1796.0	1770.0	3566.0
98	0	11170	-1.55	-0.014186051468255	1718.0	1857.0	3575.0
444	0	101360	-11.35	0.0082577746948752	2014.0	1563.0	3577.0
441	0	323280	-4.48	-0.001502131062609	1842.0	1736.0	3578.0
2336	0	84670	-4.3	-0.0027625408303534	1835.0	1747.0	3582.0
2453	0	96870	-0.92	-0.0185632881276015	1688.0	1897.0	3585.0
331	0	32350	-39.04	0.0243551497335137	2312.0	1274.0	3586.0
749	0	64260	-9.1	0.0052474789405738	1970.0	1617.0	3587.0
908	0	48550	-9.68	0.0059987349524947	1982.0	1606.0	3588.0
2102	0	434190	-2.67	-0.0095819101202457	1768.0	1820.0	3588.0
278	0	317330	-4.05	-0.0057316772607168	1822.0	1769.0	3591.0
